@HEAD;file_name;type;looped;slot;volume;frequency;vol_variation;freq_variation;non_blocking;min_dist;max_dist;audible_dist,
hero_paladin_sand3;hero_paladin_sand3.wav;SOUND;0;player;1;;;;;;;,
hero_paladin_snow;hero_paladin_snow_array;ARRAY;0;player;0.6;;;;;10;1000;30,
hero_paladin_snow1;hero_paladin_snow1.wav;SOUND;0;player;1;;;;;;;,
hero_paladin_snow2;hero_paladin_snow2.wav;SOUND;0;player;1;;;;;;;,
hero_paladin_snow3;hero_paladin_snow3.wav;SOUND;0;player;1;;;;;;;,
hero_paladin_stone;hero_paladin_stone_array;ARRAY;0;player;0.6;;;;;10;1000;30,
hero_paladin_stone1;hero_paladin_stone1.wav;SOUND;0;player;1;;;;;;;,
hero_paladin_stone2;hero_paladin_stone2.wav;SOUND;0;player;1;;;;;;;,
hero_paladin_stone3;hero_paladin_stone3.wav;SOUND;0;player;1;;;;;;;,
hero_paladin_water;hero_paladin_water_array;ARRAY;0;player;0.6;;;;;10;1000;30,
hero_paladin_water1;hero_paladin_water1.wav;SOUND;0;player;1;;;;;;;,
hero_paladin_water2;hero_paladin_water2.wav;SOUND;0;player;1;;;;;;;,
hero_paladin_water3;hero_paladin_water3.wav;SOUND;0;player;1;;;;;;;,
hero_paladin_wood;hero_paladin_wood_array;ARRAY;0;player;0.6;;;;;10;1000;30,
hero_paladin_wood1;hero_paladin_wood1.wav;SOUND;0;player;1;;;;;;;,
hero_paladin_wood2;hero_paladin_wood2.wav;SOUND;0;player;1;;;;;;;,
hero_paladin_wood3;hero_paladin_wood3.wav;SOUND;0;player;1;;;;;;;,
liner_idle;liner_idle.wav;SOUND;0;npc;1;;;;;5;100;15,
liner_start;liner_start.wav;SOUND;0;npc;1;;;;;20;1000;50,
liner_stop;liner_stop.wav;SOUND;0;npc;1;;;;;20;1000;50,
derrick01_idle;derrick01_idle.wav;SOUND;0;npc;1;;;;;5;100;15,
sawmill_idle;sawmill_idle.wav;SOUND;0;npc;0.6;;;;;5;200;20,
npc_shaman_orc_1_cast;npc_shaman_orc_1_cast.wav;SOUND;0;npc;1;;;;;20;1000;50,
npc_shaman_orc_1_rarelist;npc_shaman_orc_1_rarelist.wav;SOUND;0;npc;1;;;;;10;50;25,
phoenix_appear;phoenix_appear.wav;SOUND;0;npc;1;;;;;20;1000;50,
ah_free_dwarf_girl_aggro;ah_free_dwarf_girl_aggro.wav;SOUND;0;npc;1;;;;0;10;50;25,
archmage_aggro;archmage_aggro.wav;SOUND;0;npc;1;;;;0;10;50;25,
bowman_aggro;bowman_aggro.wav;SOUND;0;npc;1;;;;0;10;50;25,
footman_aggro;footman_aggro.wav;SOUND;0;npc;1;;;;0;10;50;25,
horseman_aggro;horseman_aggro.wav;SOUND;0;npc;1;;;;0;10;50;25,
knight_aggro;knight_aggro.wav;SOUND;0;npc;1;;;;0;10;50;25,
peasant_aggro;peasant_aggro.wav;SOUND;0;npc;1;;;;0;10;50;25,
priest_aggro;priest_aggro.wav;SOUND;0;npc;1;;;;0;10;50;25,
robber_aggro;robber_aggro.wav;SOUND;0;npc;1;;;;0;10;50;25,
barbarian_aggro;barbarian_aggro.wav;SOUND;0;npc;1;;;;0;10;50;25,
bear_aggro;bear_aggro.wav;SOUND;0;npc;1;;;;0;10;50;25,
beholder_aggro;beholder_aggro.wav;SOUND;0;npc;1;;;;0;10;50;25,
blackdragon_aggro;blackdragon_aggro.wav;SOUND;0;npc;1;;;;0;10;50;25,
cyclop_aggro;cyclop_aggro.wav;SOUND;0;npc;1;;;;0;10;50;25,
devilfish_aggro;devilfish_aggro.wav;SOUND;0;npc;1;;;;0;10;50;25,
dragonfly_aggro;dragonfly_aggro.wav;SOUND;0;npc;1;;;;0;10;50;25,
graywolf_aggro;graywolf_aggro.wav;SOUND;0;npc;1;;;;0;10;50;25,
greendragon_aggro;greendragon_aggro.wav;SOUND;0;npc;1;;;;0;10;50;25,
pirat_aggro;pirat_aggro.wav;SOUND;0;npc;1;;;;0;10;50;25,
reddragon_aggro;reddragon_aggro.wav;SOUND;0;npc;1;;;;0;10;50;25,
snake_aggro;snake_aggro.wav;SOUND;0;npc;1;;;;0;10;50;25,
thorn_aggro;thorn_aggro.wav;SOUND;0;npc;1;;;;0;10;50;25,
archer_aggro;archer_aggro.wav;SOUND;0;npc;1;;;;0;10;50;25,
bat_aggro;bat_aggro.wav;SOUND;0;npc;1;;;;0;10;50;25,
blackknight_aggro;blackknight_aggro.wav;SOUND;0;npc;1;;;;0;10;50;25,
bonedragon_aggro;bonedragon_aggro.wav;SOUND;0;npc;1;;;;0;10;50;25,
ghost_aggro;ghost_aggro.wav;SOUND;0;npc;1;;;;0;10;50;25,
necromant_aggro;necromant_aggro.wav;SOUND;0;npc;1;;;;0;10;50;25,
skeleton_aggro;skeleton_aggro.wav;SOUND;0;npc;1;;;;0;10;50;25,
spider_aggro;spider_aggro.wav;SOUND;0;npc;1;;;;0;10;50;25,
vampire_aggro;vampire_aggro.wav;SOUND;0;npc;1;;;;0;10;50;25,
zombie_aggro;zombie_aggro.wav;SOUND;0;npc;1;;;;0;10;50;25,
catapult_aggro;catapult_aggro.wav;SOUND;0;npc;1;;;;0;10;50;25,
goblin_aggro;goblin_aggro.wav;SOUND;0;npc;1;;;;0;10;50;25,
hyena_aggro;hyena_aggro.wav;SOUND;0;npc;1;;;;0;10;50;25,
orc_aggro;orc_aggro.wav;SOUND;0;npc;1;;;;0;10;50;25,
orge_aggro;orge_aggro.wav;SOUND;0;npc;1;;;;0;10;50;25,
shaman_aggro;shaman_aggro.wav;SOUND;0;npc;1;;;;0;10;50;25,
dryad_aggro;dryad_aggro.wav;SOUND;0;npc;1;;;;0;10;50;25,
elf_aggro;elf_aggro.wav;SOUND;0;npc;1;;;;0;10;50;25,
ent_aggro;ent_aggro.wav;SOUND;0;npc;1;;;;0;10;50;25,
sprite_aggro;sprite_aggro.wav;SOUND;0;npc;1;;;;0;10;50;25,
unicorn_aggro;unicorn_aggro.wav;SOUND;0;npc;1;;;;0;10;50;25,
werewolf_aggro;werewolf_aggro.wav;SOUND;0;npc;1;;;;0;10;50;25,
wolf_aggro;wolf_aggro.wav;SOUND;0;npc;1;;;;0;10;50;25,
druid_aggro;druid_aggro.wav;SOUND;0;npc;1;;;;0;10;50;25,
Alchemist_aggro;Alchemist_aggro.wav;SOUND;0;npc;1;;;;0;10;50;25,
Cannoner_aggro;Cannoner_aggro.wav;SOUND;0;npc;1;;;;0;10;50;25,
dwarf_aggro;dwarf_aggro.wav;SOUND;0;npc;1;;;;0;10;50;25,
giant_aggro;giant_aggro.wav;SOUND;0;npc;1;;;;0;10;50;25,
miner_aggro;miner_aggro.wav;SOUND;0;npc;1;;;;0;10;50;25,
Archdemon_aggro;Archdemon_aggro.wav;SOUND;0;npc;1;;;;0;10;50;25,
cerberus_aggro;cerberus_aggro.wav;SOUND;0;npc;1;;;;0;10;50;25,
demon_aggro;demon_aggro.wav;SOUND;0;npc;1;;;;0;10;50;25,
demoness_aggro;demoness_aggro.wav;SOUND;0;npc;1;;;;0;10;50;25,
imp_aggro;imp_aggro.wav;SOUND;0;npc;1;;;;0;10;50;25,
griffin_aggro;griffin_aggro.wav;SOUND;0;npc;1;;;;0;10;50;25,
altar_volcano_idle;altar_volcano_idle.wav;SOUND;1;npc;1;;;;;20;1000;50,
altar_volcano_death;altar_volcano_death.wav;SOUND;0;npc;1;;;;;20;1000;50,
altar_volcano_damage;altar_volcano_damage.wav;SOUND;0;npc;1;;;;;20;1000;50,
altar_volcano_cast;altar_volcano_cast.wav;SOUND;0;npc;1;;;;;20;1000;50,
altar_good_statue_death;altar_good_statue_death.wav;SOUND;0;npc;1;;;;;20;1000;50,
altar_good_statue_damage;altar_good_statue_damage.wav;SOUND;0;npc;1;;;;;20;1000;50,
altar_good_statue_cast;altar_good_statue_cast.wav;SOUND;0;npc;1;;;;;20;1000;50,
altar_bad_statue_death;altar_bad_statue_death.wav;SOUND;0;npc;1;;;;;20;1000;50,
altar_bad_statue_damage;altar_bad_statue_damage.wav;SOUND;0;npc;1;;;;;20;1000;50,
altar_bad_statue_cast;altar_bad_statue_cast.wav;SOUND;0;npc;1;;;;;20;1000;50,
altar_barrel_realdeath;altar_barrel_realdeath.wav;SOUND;0;npc;1;;;;;20;1000;50,
altar_barrel_damage;altar_barrel_damage.wav;SOUND;0;npc;1;;;;;20;1000;50,
altar_grave_damage;altar_grave_damage.wav;SOUND;0;npc;1;;;;;20;1000;50,
altar_grave_death;altar_grave_death.wav;SOUND;0;npc;1;;;;;20;1000;50,
altar_ice_cast;altar_ice_cast.wav;SOUND;0;npc;1;;;;;20;1000;50,
altar_ice_damage;altar_ice_damage.wav;SOUND;0;npc;1;;;;;20;1000;50,
altar_ice_death;altar_ice_death.wav;SOUND;0;npc;1;;;;;20;1000;50,
altar_bomb_damage;altar_bomb_damage.wav;SOUND;0;npc;1;;;;;20;1000;50,
altar_bomb_death;altar_bomb_death.wav;SOUND;0;npc;1;;;;;20;1000;50,
altar_bomb_idle;altar_bomb_idle.wav;SOUND;0;npc;1;;;;;20;1000;50,
altar_bomb_realdeath;altar_bomb_realdeath.wav;SOUND;0;npc;1;;;;;20;1000;50,
rage_fountain02_idle;rage_fountain02_idle.wav;SOUND;1;npc;1;;;;;5;200;20,
rage_fountain02_charge;rage_fountain02_charge.wav;SOUND;0;npc;1;;;;;5;200;20,
rage_fountain02_release;rage_fountain02_release.wav;SOUND;0;npc;1;;;;;5;200;20,
rage_fountain02_cursor;rage_fountain02_cursor.wav;SOUND;1;npc;1;;;;;5;200;20,
rage_fountain02_click;rage_fountain02_click.wav;SOUND;0;npc;1;;;;;5;200;20,
rage_fountain02_finish;rage_fountain02_finish.wav;SOUND;0;npc;1;;;;;5;200;20,
hll_dig_failure;hll_dig_failure.wav;SOUND;0;npc;1;;;;;20;1000;50,
army_catapult_attack;army_catapult_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
army_goblin_attack;army_goblin_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
army_hyena_attack;army_hyena_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
army_ogre_attack;army_ogre_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
army_orc_attack;army_orc_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
army_shaman_attack;army_shaman_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
army_bear_attack;army_bear_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
army_beholder_attack;army_beholder_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
army_blackdragon_attack;army_blackdragon_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
army_cyclop_attack;army_cyclop_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
army_devilfish_attack;army_devilfish_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
army_dragonfly_lake_attack;army_dragonfly_lake_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
army_graywolf_attack;army_graywolf_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
army_greendragon_attack;army_greendragon_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
army_snake_green_attack;army_snake_green_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
army_pirat_attack;army_pirat_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
army_reddragon_attack;army_reddragon_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
army_thorn_attack;army_thorn_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
army_druid_attack;army_druid_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
army_dryad_attack;army_dryad_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
army_elf_attack;army_elf_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
army_ent_attack;army_ent_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
army_sprite_attack;army_sprite_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
army_unicorn_attack;army_unicorn_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
army_werewolf_attack;army_werewolf_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
army_wolf_attack;army_wolf_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
army_archer_attack;army_archer_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
army_bat_attack;army_bat_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
army_blackknight_attack;army_blackknight_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
army_bonedragon_attack;army_bonedragon_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
army_ghost_attack;army_ghost_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
army_necromant_attack;army_necromant_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
army_skeleton_attack;army_skeleton_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
army_spider_undead_attack;army_spider_undead_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
army_vampire_attack;army_vampire_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
army_zombie_attack;army_zombie_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
army_archdemon_attack;army_archdemon_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
army_cerberus_attack;army_cerberus_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
army_demon_attack;army_demon_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
army_demoness_attack;army_demoness_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
army_imp_attack;army_imp_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
army_alchemist_attack;army_alchemist_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
army_cannoner_attack;army_cannoner_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
army_dwarf_attack;army_dwarf_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
army_giant_attack;army_giant_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
army_miner_attack;army_miner_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
army_archmage_attack;army_archmage_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
army_bowman_attack;army_bowman_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
army_footman_attack;army_footman_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
army_griffin_attack;army_griffin_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
army_horseman_attack;army_horseman_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
army_knight_attack;army_knight_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
army_peasant_attack;army_peasant_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
army_priest_attack;army_priest_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
army_robber_attack;army_robber_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
ah_plugens_robber_attack;ah_plugens_robber_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
darkcrystal_attack;darkcrystal_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
darkcrystal_damage;darkcrystal_damage.wav;SOUND;0;npc;1;;;;;20;1000;50,
darkcrystal_death;darkcrystal_death.wav;SOUND;0;npc;1;;;;;20;1000;50,
altar_hollow_attack;altar_hollow_attack.wav;SOUND;0;npc;1;;;;;20;1000;50,
altar_hollow_damage;altar_hollow_damage.wav;SOUND;0;npc;1;;;;;20;1000;50,
altar_hollow_death;altar_hollow_death.wav;SOUND;0;npc;1;;;;;20;1000;50,
arena_tower_idle;arena_tower_idle.wav;SOUND;0;npc;1;;;;;20;1000;50,
arena_tower_spare;arena_tower_spare.wav;SOUND;0;npc;1;;;;;20;1000;50,
arena_tower_cast;arena_tower_cast.wav;SOUND;0;npc;1;;;;;20;1000;50,
arena_tower_damage;arena_tower_damage.wav;SOUND;0;npc;1;;;;;20;1000;50,
arena_tower_death;arena_tower_death.wav;SOUND;0;npc;1;;;;;20;1000;50,
necro4skeleton07_2work;necro4skeleton07_2work.wav;SOUND;0;ambient;1;;;;;5;100;10,
necro4skeleton07_start;necro4skeleton07_start.wav;SOUND;0;ambient;1;;;;;5;100;10,
necro4skeleton07_stop;necro4skeleton07_stop.wav;SOUND;0;ambient;1;;;;;5;100;10,
necro4skeleton07_work;necro4skeleton07_work.wav;SOUND;0;ambient;1;;;;;5;100;10,
necro4skeleton07_worklist;necro4skeleton07_worklist.wav;SOUND;0;ambient;1;;;;;5;100;10,
necro4skeleton06_2work;necro4skeleton06_2work.wav;SOUND;0;ambient;1;;;;;5;100;10,
necro4skeleton06_start;necro4skeleton06_start.wav;SOUND;0;ambient;1;;;;;5;100;10,
necro4skeleton06_stop;necro4skeleton06_stop.wav;SOUND;0;ambient;1;;;;;5;100;10,
necro4skeleton06_work;necro4skeleton06_work.wav;SOUND;0;ambient;1;;;;;5;100;10,
necro4skeleton06_worklist;necro4skeleton06_worklist.wav;SOUND;0;ambient;1;;;;;5;100;10,
necro4skeleton05_2work;necro4skeleton05_2work.wav;SOUND;0;ambient;1;;;;;5;100;10,
necro4skeleton05_start;necro4skeleton05_start.wav;SOUND;0;ambient;1;;;;;5;100;10,
necro4skeleton05_stop;necro4skeleton05_stop.wav;SOUND;0;ambient;1;;;;;5;100;10,
necro4skeleton05_work;necro4skeleton05_work.wav;SOUND;0;ambient;1;;;;;5;100;10,
necro4skeleton05_worklist;necro4skeleton05_worklist.wav;SOUND;0;ambient;1;;;;;5;100;10,
necro4skeleton04_2work;necro4skeleton04_2work.wav;SOUND;0;ambient;1;;;;;5;100;10,
necro4skeleton04_start;necro4skeleton04_start.wav;SOUND;0;ambient;1;;;;;5;100;10,
necro4skeleton04_stop;necro4skeleton04_stop.wav;SOUND;0;ambient;1;;;;;5;100;10,
necro4skeleton04_work;necro4skeleton04_work.wav;SOUND;0;ambient;1;;;;;5;100;10,
necro4skeleton04_worklist;necro4skeleton04_worklist.wav;SOUND;0;ambient;1;;;;;5;100;10,
necro4skeleton03_2work;necro4skeleton03_2work.wav;SOUND;0;ambient;1;;;;;5;100;10,
necro4skeleton03_start;necro4skeleton03_start.wav;SOUND;0;ambient;1;;;;;5;100;10,
necro4skeleton03_stop;necro4skeleton03_stop.wav;SOUND;0;ambient;1;;;;;5;100;10,
necro4skeleton03_work;necro4skeleton03_work.wav;SOUND;0;ambient;1;;;;;5;100;10,
necro4skeleton03_worklist;necro4skeleton03_worklist.wav;SOUND;0;ambient;1;;;;;5;100;10,
necro4skeleton02_2work;necro4skeleton02_2work.wav;SOUND;0;ambient;1;;;;;5;100;10,
necro4skeleton02_start;necro4skeleton02_start.wav;SOUND;0;ambient;1;;;;;5;100;10,
necro4skeleton02_stop;necro4skeleton02_stop.wav;SOUND;0;ambient;1;;;;;5;100;10,
necro4skeleton02_work;necro4skeleton02_work.wav;SOUND;0;ambient;1;;;;;5;100;10,
necro4skeleton02_worklist;necro4skeleton02_worklist.wav;SOUND;0;ambient;1;;;;;5;100;10,
necro4skeleton01_2work;necro4skeleton01_2work.wav;SOUND;0;ambient;1;;;;;5;100;10,
necro4skeleton01_start;necro4skeleton01_start.wav;SOUND;0;ambient;1;;;;;5;100;10,
necro4skeleton01_stop;necro4skeleton01_stop.wav;SOUND;0;ambient;1;;;;;5;100;10,
necro4skeleton01_work;necro4skeleton01_work.wav;SOUND;0;ambient;1;;;;;5;100;10,
necro4skeleton01_worklist;necro4skeleton01_worklist.wav;SOUND;0;ambient;1;;;;;5;100;10,
npc_shipghost_2idle;npc_shipghost_2idle.wav;SOUND;0;npc;1;;;;;5;200;20,
npc_shipghost_2move;npc_shipghost_2move.wav;SOUND;0;npc;1;;;;;5;200;20,
npc_shipghost_cast;npc_shipghost_cast.wav;SOUND;0;npc;1;;;;;10000;10000;10000,
npc_shipghost_idle;npc_shipghost_idle.wav;SOUND;0;npc;1;;;;;5;200;20,
npc_shipghost_move;npc_shipghost_move.wav;SOUND;0;npc;0.5;;;;;5;200;20,
npc_shipghost_special;npc_shipghost_special.wav;SOUND;0;npc;1;;;;;10000;10000;10000,
npc_ship_ancient02_2idle;npc_ship_ancient02_2idle.wav;SOUND;0;npc;1;;;;;5;200;20,
npc_ship_ancient02_appear;npc_ship_ancient02_appear.wav;SOUND;0;npc;1;;;;;10000;10000;10000,
npc_ship_ancient02_special;npc_ship_ancient02_special.wav;SOUND;0;npc;1;;;;;10000;10000;10000,
npc_markopus_ship_idle;npc_markopus_ship_idle.wav;SOUND;0;npc;1;;;;;5;200;20,
npc_markopus_ship_move;npc_markopus_ship_move.wav;SOUND;0;npc;1;;;;;5;200;20,
npc_markopus_ship_special;npc_markopus_ship_special.wav;SOUND;0;npc;1;;;;;10000;10000;10000,
bigfishship_cast;bigfishship_cast.wav;SOUND;0;ambient;1;;;;;10000;10000;10000,
bigfishship_idle;bigfishship_idle.wav;SOUND;0;ambient;1;;;;;5;200;20,
bigfishship_magic;bigfishship_magic.wav;SOUND;0;ambient;1;;;;;10000;10000;10000,
effect_bomb;71 effect_bomb.wav;SOUND;0;spells;1;;;;1;20;1000;50,
magic_fireaxle;72 magic_fireaxle.wav;SOUND;0;spells;1;;;;1;20;1000;50,
magic_armageddon;73 magic_armageddon.wav;SOUND;0;spells;1;;;;1;20;1000;50,
lightning_bolt1hx;74 lightning_bolt1hx.wav;SOUND;0;spells;0.8;;;;1;20;1000;50,
lightning_bolt2hx;75 lightning_bolt2hx.wav;SOUND;0;spells;0.8;;;;1;20;1000;50,
lightning_bolt3hx;76 lightning_bolt3hx.wav;SOUND;0;spells;0.8;;;;1;20;1000;50,
lightning_bolt4hx;77 lightning_bolt4hx.wav;SOUND;0;spells;0.8;;;;1;20;1000;50,
rage_fountain01_click;rage_fountain01_click.wav;SOUND;0;ambient;1;;;;;5;200;20,
rage_fountain01_idle;rage_fountain01_idle.wav;SOUND;1;ambient;1;;;;;5;200;20,
fountain_joy_idle;fountain_joy_idle.wav;SOUND;1;ambient;0.5;;;;;5;200;20,
fountain_joy_cursor;fountain_joy_cursor.wav;SOUND;1;ambient;0.5;;;;;5;200;20,
fountain_joy_click;fountain_joy_click.wav;SOUND;0;ambient;0.5;;;;;5;200;20,
fountain_joy_finish;fountain_joy_finish.wav;SOUND;0;ambient;0.5;;;;;5;200;20,
fountain_joy_charge;fountain_joy_charge.wav;SOUND;0;ambient;0.5;;;;;5;200;20,
fountain_joy_release;fountain_joy_release.wav;SOUND;0;ambient;0.5;;;;;5;200;20,
telega_ore_charge;telega_ore_charge.wav;SOUND;0;ambient;1;;;;;5;200;20,
telega_ore_click;telega_ore_click.wav;SOUND;0;ambient;1;;;;;5;200;20,
telega_ore_release;telega_ore_release.wav;SOUND;0;ambient;1;;;;;5;200;20,
telega_ore_take;telega_ore_take.wav;SOUND;0;ambient;1;;;;;5;200;20,
kanatos_head_click;kanatos_head_click.wav;SOUND;0;ambient;1;;;;;5;200;20,
kanatos_head_cursor;kanatos_head_cursor.wav;SOUND;0;ambient;1;;;;;5;200;20,
kanatos_head_finish;kanatos_head_finish.wav;SOUND;0;ambient;1;;;;;5;200;20,
time_clock_appear;time_clock_appear.wav;SOUND;0;ambient;1;;;;;5;200;20,
time_clock_idle;time_clock_idle.wav;SOUND;0;ambient;1;;;;;5;200;20,
time_clock_death;time_clock_death.wav;SOUND;0;ambient;1;;;;;5;200;20,
generator_idle;generator_idle.wav;SOUND;0;ambient;1;;;;;5;200;20,
generator_idle2;generator_idle2.wav;SOUND;0;ambient;1;;;;;5;200;20,
generator_cast;generator_cast.wav;SOUND;0;ambient;1;;;;;10000;10000;10000,
multistate_runes_death;multistate_runes_death.wav;SOUND;0;ambient;1;;;;;5;100;15,
multistate_runes_idle;multistate_runes_idle.wav;SOUND;0;ambient;1;;;;;5;100;15,
helltank01_idle;helltank01_idle.wav;SOUND;0;ambient;1;;;;;5;200;20,
helltank02_idle;helltank02_idle.wav;SOUND;0;ambient;1;;;;;5;200;20,
deadhouse06_extra;deadhouse06_extra.wav;SOUND;0;ambient;1;;;;;5;200;20,
deadhouse06_idle;deadhouse06_idle.wav;SOUND;0;ambient;1;;;;;5;200;20,
deadhouse06_rare;deadhouse06_rare.wav;SOUND;0;ambient;1;;;;;5;200;20,
deadhouse06_spare;deadhouse06_spare.wav;SOUND;0;ambient;1;;;;;5;200;20,
building_mill01_idle;building_mill01_idle.wav;SOUND;0;ambient;0.6;;;;;5;200;20,
village_aut_mill02;village_aut_mill02.wav;SOUND;0;ambient;1;;;;;5;200;20,
gate_dwarves_open;gate_dwarves_open.wav;SOUND;0;ambient;1;;;;;10000;10000;10000,
gate_dwarves_shut;gate_dwarves_shut.wav;SOUND;0;ambient;1;;;;;10000;10000;10000,
prison_gate01_close;prison_gate01_close.wav;SOUND;0;ambient;1;;;;;10000;10000;10000,
prison_gate01_open;prison_gate01_open.wav;SOUND;0;ambient;1;;;;;10000;10000;10000,
prison_gate02_close;prison_gate02_close.wav;SOUND;0;ambient;1;;;;;10000;10000;10000,
prison_gate02_open;prison_gate02_open.wav;SOUND;0;ambient;1;;;;;10000;10000;10000,
ms_dwarf_cage_death;ms_dwarf_cage_death.wav;SOUND;0;ambient;1;;;;;10000;10000;10000,
multistate_crypt02_death;multistate_crypt02_death.wav;SOUND;0;ambient;1;;;;;10000;10000;10000,
ms_secret_door_close;ms_secret_door_close.wav;SOUND;0;ambient;1;;;;;10000;10000;10000,
ms_secret_door_death;ms_secret_door_death.wav;SOUND;0;ambient;1;;;;;10000;10000;10000,
